cnpj;identificador_matriz_filial;razao_social;nome_fantasia;situacao;situacao_desc;data_situacao;motivo_situacao;motivo_situacao_desc;natureza_juridica;nat_jur_desc;data_inicio;ano_inicio;cnae_subclasse;subclasse_desc;cnae_classe;classe_desc;cnae_grupo;grupo_desc;cnae_divisao;divisao_desc;endereco_completo;tipo_logradouro;endereco;numero;complemento;bairro;cep;codemun;municipio;geocod_ibge_2018;nome_munic_ibge;uf;cidade_exterior;cod_pais;nome_pais;ddd1;telefone1;ddd2;telefone2;nu_ddd_fax;nu_fax;email;qualificacao;capital_social;porte_empresa;opcao_simples;data_opcao_simples;data_exclusao_simples;opcao_mei;situacao_especial;data_situacao_especial;ind_osc;id_mapa;certificado_OSCIP;macro_area_atuacao;micro_area_atuacao;n_vinc_ativos;n_vinc_def;empenhado;pago;empenhado_def;pago_def;cnae_secundaria;cnae2_classe;cnae2_classe_desc;PrecisionDepth;MatchedAddress;Longitude;Latitude
00007138003138;Filial;MITRA DIOCESANA DE TOCANTINOPOLIS;PAROQUIA NOSSA SENHORA DO PERPETUO SOCORRO;2;;2014-07-16;00;;3220;Organização Religiosa;2014-07-16;2014;9491000;Atividades de organizações religiosas ou filosóficas;94910;Atividades de organizações religiosas;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA CENTRAL SN;RUA;CENTRAL;SN;;CENTRO;77995000;9715;BURITI DO TOCANTINS;;;TO;;;;63;34711724;;;;;;16;;05;0;;;;;;1;1;;Religião;Religião;;;;;;;;;;3 Estrelas;RUA CENTRAL, BURITI DO TOCANTINS, TO;-48,2256041279996;-5,31574805099956
00007138003219;Filial;MITRA DIOCESANA DE TOCANTINOPOLIS;PAROQUIA NOSSA SENHORA DA NATIVIDADE;2;;2018-09-20;00;;3220;Organização Religiosa;2018-09-20;2018;9491000;Atividades de organizações religiosas ou filosóficas;94910;Atividades de organizações religiosas;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA 30 SN;RUA;30;SN;;LOTEAMENTO NOVA ARAGUAINA;77815490;9241;ARAGUAINA;;;TO;;;;63;34152847;;;;;;16;;05;0;;;;;;1;0;;Religião;Religião;;;;;;;;;;4 Estrelas;ESTRADA RURAL 30, ARAGUANA, TO, 77855000;-48,6423876179996;-6,57027519899958
00007260000199;Matriz;IGREJA CRISTA EVANGELICA DE TRINDADE;;2;;2005-11-03;00;;3999;Associação Privada;1982-03-22;1982;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA MOISES BATISTA 161;RUA;MOISES BATISTA;161;;CENTRO;75380001;9625;TRINDADE;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Religião;Religião;;;;;;;;;;4 Estrelas;RUA MOISES BATISTA 161, SETOR CENTRAL, TRINDADE, GO, 75380000;-49,4884617519996;-16,6560913229996
00007385000119;Matriz;ASSOCIACAO DOS SERVIDORES DA CEASA GO;ASCEAGO;4;;2018-09-04;63;OMISSÃO DE DECLARAÇÕES;3999;Associação Privada;1983-03-30;1983;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RODOVIA BR 153 S/N;RODOVIA;BR 153;S/N;KM 5,5;CEASA;74675090;9373;GOIANIA;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;3 Estrelas;RODOVIA BR-153, JARDIM GUANABARA, GOIANIA, GO, 74675090;-49,1894872109996;-16,5989516599996
00007393000165;Matriz;ASSOCIACAO DOS PROFESSORES DA UNIVERSIDADE CATOLICA GO;APUC;2;;2005-11-03;00;;3999;Associação Privada;1983-04-05;1983;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA 240 406;RUA;240;406;QD 87;S UNIVERSITARIO;74605170;9373;GOIANIA;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;4;;;;;;;;;4 Estrelas;RUA 240 406, SETOR LESTE UNIVERSITÁRIO, GOIANIA, GO, 74605170;-49,2425536809996;-16,6791714009996
00007419000175;Matriz;ROTARY CLUB DE BELA VISTA DE GOIAS;;2;;2012-10-22;00;;3999;Associação Privada;1983-04-08;1983;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;AVENIDA 31 DE MARCO 181;AVENIDA;31 DE MARCO;181;;CENTRO;75240000;9265;BELA VISTA DE GOIAS;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;1 Estrela;Bela Vista de Goiás, GO;-48,9517537559996;-16,9697490019996
00007443000104;Matriz;IGREJA CRISTA EVANGELICA UNIAO;;2;;2005-11-03;00;;3220;Organização Religiosa;1983-04-13;1983;9491000;Atividades de organizações religiosas ou filosóficas;94910;Atividades de organizações religiosas;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;AVENIDA C 101 S/N;AVENIDA;C 101;S/N;QD 200 LT 12;ST SUDOESTE;74365560;9373;GOIANIA;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Religião;Religião;1;;;;;;;;;3 Estrelas;AVENIDA C, SETOR NOVO HORIZONTE, GOIANIA, GO, 74365560;-49,3174208259996;-16,7171235169996
00007484000109;Matriz;PRIMEIRA IGREJA BATISTA EM URUACU;IGREJA BATISTA;2;;2020-02-20;00;;3999;Associação Privada;1982-02-11;1982;9491000;Atividades de organizações religiosas ou filosóficas;94910;Atividades de organizações religiosas;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA 01 33;RUA;01;33;;SAO SEBASTIAO;76400000;9633;URUACU;;;GO;;;;62;33571274;62;33571274;62;33571274;sos-moveis@hotmail.com;16;;05;0;;;N;;;1;1;;Religião;Religião;;;;;;;;;;4 Estrelas;RUA 01 33, VILA JUSCELINO KUBITSCHEK, URUACU, GO, 76400000;-49,1451230459996;-14,5300918849996
00007492000147;Matriz;ASSOCIACAO DOS MORADORES SETOR AEROPORTO;VENCEDORA;2;;2015-02-09;00;;3999;Associação Privada;1981-11-03;1981;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA PERU SN;RUA;PERU;SN;QD.21 LT.06;SETOR AEROPORTO;76400000;9633;URUACU;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;3 Estrelas;RUA PERU, SETOR AEROPORTO I, URUACU, GO;-49,1254457169996;-14,5297428719996
00007534000140;Matriz;LOJA MACONICA VALE DO TOCANTINS;LOJA MACONICA VALE DO TOCANTINS;2;;2005-11-03;00;;3999;Associação Privada;1981-11-18;1981;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA BAHIA S N;RUA;BAHIA;S N;;CENTRO;76400000;9633;URUACU;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Religião;Religião;;;;;;;;;;3 Estrelas;RUA BAHIA, VILA SANTANA, URUACU, GO;-49,1428063599996;-14,5272589499996
00007567000190;Matriz;ASSOCIACAO MEDICA DE GOIAS SECCAO REGIONAL DE URUACU;;2;;2008-07-02;00;;3999;Associação Privada;1982-02-19;1982;9412099;Outras atividades associativas profissionais;94120;Atividades de organizações associativas profissionais;941;Atividades de organizações associativas patronais, empresariais e profissionais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RODOVIA BR 153 S N;RODOVIA;BR 153;S N;KM 254;ZONA RURAL;76400000;9633;URUACU;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Associações patronais e profissionais;Associações profissionais;;;;;;;;;;4 Estrelas;RUA B 153, VILA DOURADA, URUACU, GO, 76400000;-49,1397264609996;-14,5180134019996
00007617000139;Matriz;CONGREGACAO CRISTA NO BRASIL;CONGREGACAO CRISTA NO BRASIL;2;;1998-07-28;00;;3220;Organização Religiosa;1982-01-08;1982;9491000;Atividades de organizações religiosas ou filosóficas;94910;Atividades de organizações religiosas;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA CINCO 09;RUA;CINCO;09;;SAO SEBASTIAO;76400000;9633;URUACU;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Religião;Religião;;;;;;;;;;1 Estrela;Uruaçu, GO;-49,1400757299996;-14,5242813199996
00007682000164;Matriz;CONGREGACAO CRISTA NO BRASIL DE NIQUELANDIA GO;;2;;2005-11-03;00;;3220;Organização Religiosa;1982-06-25;1982;9491000;Atividades de organizações religiosas ou filosóficas;94910;Atividades de organizações religiosas;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA TIRADENTES 27;RUA;TIRADENTES;27;;BELO HORIZONTE;76420000;9489;NIQUELANDIA;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Religião;Religião;;;;;;;;;;1 Estrela;Niquelândia, GO;-48,4603248999996;-14,4666341419996
00007708000174;Matriz;IGREJA BATISTA DE MINACU;IGREJA BATISTA;4;;2018-09-11;63;OMISSÃO DE DECLARAÇÕES;3999;Associação Privada;1982-07-06;1982;9491000;Atividades de organizações religiosas ou filosóficas;94910;Atividades de organizações religiosas;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA QUATRO S/N;RUA;QUATRO;S/N;;CENTRO;76450000;9647;MINACU;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Religião;Religião;;;;;;;;;;4 Estrelas;RUA DO R 4, NOVA ESPERANCA, MINACU, GO, 76450000;-48,2208632659996;-13,5135087049996
00007898000120;Matriz;CONGREGACAO CRISTA NO BRASIL;;2;;1998-07-28;00;;3999;Associação Privada;1983-02-07;1983;9491000;Atividades de organizações religiosas ou filosóficas;94910;Atividades de organizações religiosas;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;AVENIDA LAMBARI 571;AVENIDA;LAMBARI;571;;CENTRO;76200000;9399;IPORA;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Religião;Religião;;;;;;;;;;4 Estrelas;AVENIDA LAMBARI 571, VILA SAO FRANCISCO, IPORA, GO, 76200000;-51,1153010699996;-16,4462169179996
00008451000175;Matriz;CONSORCIO SADE VIGESA/SBEI;;4;;2018-10-04;63;OMISSÃO DE DECLARAÇÕES;3999;Associação Privada;1994-05-23;1994;8299702;Emissão de vales-alimentação, vales-transporte e similares;82997;Atividades de serviços prestados principalmente às empresas não especificadas anteriormente;829;Outras atividades de serviços prestados principalmente às empresas;82;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS;RUA ALEXANDRE DUMAS 1860;RUA;ALEXANDRE DUMAS;1860;;CHACARA STO ANTONIO;04717004;7107;SAO PAULO;;;SP;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Outras organizações da sociedade civil;Outras organizações da sociedade civil;;;;;;;;;;4 Estrelas;RUA ALEXANDRE DUMAS 1860, CHÁCARA SANTO ANTÔNIO (ZONA SUL), SAO PAULO, SP, 04717004;-46,7084034409996;-23,6295280659996
00015453000191;Matriz;ASSOCIACAO DOS MILITARES INATIVOS DE GOIAS;AMIGO;2;;2005-05-14;00;;3999;Associação Privada;1981-11-27;1981;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA 77 281;RUA;77;281;;CENTRO;74130010;9373;GOIANIA;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;17;;;;;;;;;4 Estrelas;RUA 77 281, SETOR CENTRAL, GOIANIA, GO, 74055090;-49,2584588839997;-16,6664960029996
00015461000138;Matriz;ASSOCIACAO PROF DO COMERCIO VAREJ DERIV PETRO EST GO;;4;;2018-09-04;63;OMISSÃO DE DECLARAÇÕES;3999;Associação Privada;1981-11-25;1981;9411100;Atividades de organizações associativas patronais e empresariais;94111;Atividades de organizações associativas patronais e empresariais;941;Atividades de organizações associativas patronais, empresariais e profissionais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;AVENIDA PORTUGAL 1013;AVENIDA;PORTUGAL;1013;2;SETOR OESTE;74150030;9373;GOIANIA;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Associações patronais e profissionais;Associações empresariais e patronais;;;;;;;;;;4 Estrelas;AVENIDA PORTUGAL 1013, SETOR MARISTA, GOIANIA, GO, 74150030;-49,2694148109996;-16,6951689859996
00015495000122;Matriz;ASSEMBLEIA ESPIRITUAL LOCAL DOS BAHA IS DE GOIANIA;;4;;2018-09-04;63;OMISSÃO DE DECLARAÇÕES;3999;Associação Privada;1981-11-25;1981;9491000;Atividades de organizações religiosas ou filosóficas;94910;Atividades de organizações religiosas;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA C-234 S/N;RUA;C-234;S/N;QD. 576 LT. 02;NOVA SUICA;74820330;9373;GOIANIA;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Religião;Religião;;;;;;;;;;3 Estrelas;RUA 1020, SETOR PEDRO LUDOVICO, GOIANIA, GO, 74820330;-49,2495352759996;-16,7108568479996
00015586000168;Matriz;ASSOCIACAO DE MORADORES DO NOVO HORIZONTE;;2;;2008-03-19;00;;3999;Associação Privada;1981-12-15;1981;9312300;Clubes sociais, esportivos e similares;93123;Clubes sociais, esportivos e similares;931;Atividades esportivas;93;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER;RUA D 24 30;RUA;D 24;30;QD 81 A LOTE 40;NOVO HORIZONTE;74363650;9373;GOIANIA;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Cultura e recreação;Esportes e recreação;;;;;;;;;;4 Estrelas;RUA D. VINTE E QUATRO 30, SETOR NOVO HORIZONTE, GOIANIA, GO, 74363650;-49,3217446779996;-16,7214182249996
00015594000104;Matriz;ASSOCIACAO DOS FISCAIS DO TRABALHO DO ESTADO DE GOIAS;AFITEGO;4;;2018-09-04;63;OMISSÃO DE DECLARAÇÕES;3999;Associação Privada;1981-12-17;1981;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA OITENTA E CINCO 887;RUA;OITENTA E CINCO;887;1 ANDAR;SETOR SUL;74465539;9373;GOIANIA;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;3 Estrelas;RUA 80, CONDOMÍNIO DAS ESMERALDAS, GOIANIA, GO;-49,3589735299996;-16,7932904199996
00015636000107;Matriz;ASSOCIACAO BENEFICENTE E CULTURAL EVANGELICA ABCE;ABCE;2;;2005-11-03;00;;3999;Associação Privada;1981-12-21;1981;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;AVENIDA CASTELO BRANCO 2242;AVENIDA;CASTELO BRANCO;2242;QUADRA81                  LOTE  28/8;SETOR COIMBRA;74530015;9373;GOIANIA;;;GO;;;;62;30882364;62;32375505;;;;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;AVENIDA CASTELO BRANCO 2242, SETOR COIMBRA, GOIANIA, GO, 74530010;-49,2853788009996;-16,6788522809996
00015636000298;Filial;ASSOCIACAO BENEFICENTE E CULTURAL EVANGELICA ABCE;;2;;2005-11-03;00;;3999;Associação Privada;1995-02-15;1995;9491000;Atividades de organizações religiosas ou filosóficas;94910;Atividades de organizações religiosas;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA 203 185;RUA;203;185;QD 81 LT 25E;ST COIMBRA;74465539;9373;GOIANIA;;;GO;;;;062;2918422;;;;;;16;;05;0;;;;;;1;1;;Religião;Religião;5;;;;;;;;;4 Estrelas;RUA 203 185, SETOR COIMBRA, GOIANIA, GO, 74535310;-49,2863791499996;-16,6768346439996
00015636000379;Filial;ASSOCIACAO BENEFICENTE E CULTURAL EVANGELICA ABCE;COLEGIO PRINCIPIOS;2;;2009-04-03;00;;3999;Associação Privada;2009-04-03;2009;8513900;Ensino fundamental;85139;Ensino fundamental;851;Educação infantil e ensino fundamental;85;EDUCAÇÃO;RUA C 67 65;RUA;C 67;65;QUADRA112                 LOTE  13 E 14;SETOR SUDOESTE;74305460;9373;GOIANIA;;;GO;;;;62;32470303;;;;;;16;;05;0;;;;;;1;1;;Educação e pesquisa;Ensino fundamental;90;;;;;;;;;4 Estrelas;RUA C. 67 65, SETOR SUDOESTE, GOIANIA, GO, 74305460;-49,2990674049996;-16,6965342319996
00015636000450;Filial;ASSOCIACAO BENEFICENTE E CULTURAL EVANGELICA ABCE;SIQUEM NUCLEO EDUCACIONAL;2;;2015-03-12;00;;3999;Associação Privada;2015-03-12;2015;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA SC 3 152;RUA;SC 3;152;QUADRA26                  LOTE  18;PARQUE SANTA CRUZ;74860280;9373;GOIANIA;;;GO;;;;62;85855107;;;;;;16;;05;0;;;;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;RUA SC TRES 152, PARQUE SANTA CRUZ, GOIANIA, GO, 74860280;-49,2209675239996;-16,7318219159996
00015727000142;Matriz;ASSOCIACAO EDUCATIVA SOLIDARIEDADE;;4;;2018-09-04;63;OMISSÃO DE DECLARAÇÕES;3999;Associação Privada;1982-01-18;1982;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA 105 A S N;RUA;105 A;S N;;SETOR SUL;74465539;9373;GOIANIA;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;RUA R 105, VILA CLEMENTE, GOIANIA, GO, 74580452;-49,2900771129996;-16,6467758749996
00015743000135;Matriz;ACAO SOCIAL NOSSA SENHORA DE LOURDES;ASLO;2;;2020-07-02;00;;3999;Associação Privada;1982-01-21;1982;9491000;Atividades de organizações religiosas ou filosóficas;94910;Atividades de organizações religiosas;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;AVENIDA FUAD RASSI 1532;AVENIDA;FUAD RASSI;1532;;SETOR CRIMEIA LESTE;74660310;9373;GOIANIA;;;GO;;;;62;32237010;;;;;;16;;05;0;;;N;;;1;1;;Religião;Religião;;;;;;;;;;4 Estrelas;AVENIDA ENGENHEIRO FUAD RASSI 1532, SETOR NOVA VILA, GOIANIA, GO, 74653100;-49,2520755399996;-16,6590907559996
00015784000121;Matriz;UNIAO DAS PIONEIRAS DE GOIANIA;C.E.I UNIAO DAS PIONEIRAS DE GOIANIA;2;;2005-08-27;00;;3999;Associação Privada;1982-01-28;1982;8511200;Educação infantil - creche;85112;Educação infantil - creche;851;Educação infantil e ensino fundamental;85;EDUCAÇÃO;RUA BOGOTA S N;RUA;BOGOTA;S N;QD 206 LT 27;JARDIM NOVO MUNDO;74710250;9373;GOIANIA;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Educação e pesquisa;Educação infantil;17;;;;;;;;;3 Estrelas;RUA BOGOTA, JARDIM NOVO MUNDO, GOIANIA, GO, 74710250;-49,2135998249996;-16,6695702149996
00015818000188;Matriz;ASSOCIACAO DE SAO SEBASTIAO UNIAO OPERARIA;;2;;2019-07-25;00;;3999;Associação Privada;1982-02-05;1982;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA 75 327;RUA;75;327;;CENTRO;74130010;9373;GOIANIA;;;GO;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;RUA 75 327, SETOR CENTRAL, GOIANIA, GO, 74055110;-49,2579042209996;-16,6671581039996
00016020000150;Matriz;ASSOCIACAO CULTURAL CHIU JIN DE ARTES E TERAPIAS ORIENTAIS;;2;;2003-10-04;00;;3999;Associação Privada;1994-12-01;1994;8591100;Ensino de esportes;85911;Ensino de esportes;859;Outras atividades de ensino;85;EDUCAÇÃO;RUA ANTONIO DINIZ 115;RUA;ANTONIO DINIZ;115;;JARDIM MONTEZUMA;13480356;6639;LIMEIRA;;;SP;;;;19;88309060;;;;;ESCRITORIOTIRADENTES@GMAIL.COM;16;;05;0;;;N;;;1;1;;Educação e pesquisa;Outras formas de educação/ensino;;;;;;;;;;4 Estrelas;RUA ANTONIO DINIZ 115, JARDIM MONTEZUMA, LIMEIRA, SP, 13480356;-47,3930604489996;-22,5767282549996
00016020000231;Filial;ASSOCIACAO CULTURAL CHIU JIN DE ARTES E TERAPIAS ORIENTAIS;;2;;2017-03-29;00;;3999;Associação Privada;2017-03-29;2017;8591100;Ensino de esportes;85911;Ensino de esportes;859;Outras atividades de ensino;85;EDUCAÇÃO;AVENIDA ASSIS BRASIL 610;AVENIDA;ASSIS BRASIL;610;;VILA CAMARGO;13486072;6639;LIMEIRA;;;SP;;;;19;88309060;;;;;ESCRITORIOTIRADENTES@GMAIL.COM;16;;05;0;;;;;;1;1;;Educação e pesquisa;Outras formas de educação/ensino;;;;;;;;;;4 Estrelas;AVENIDA ASSIS BRASIL 610, VILA CAMARGO, LIMEIRA, SP, 13486072;-47,3942412419996;-22,5679946289996
00016049000132;Matriz;SOCIEDADE DE AMIGOS DE BAIRROS JARDIM PLANALTO;;4;;2019-01-10;63;OMISSÃO DE DECLARAÇÕES;3999;Associação Privada;1994-10-11;1994;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA AUGUSTO LOVATI 143;RUA;AUGUSTO LOVATI;143;;JARDIM PLANALTO;13380001;6769;NOVA ODESSA;;;SP;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;RUA AUGUSTO LOIATI 143, NOVA ODESSA, SP, 13460000;-47,3042718569996;-22,7764475059996
00016082000162;Matriz;IGREJA PRESBITERIANA RENOVADA DE NOVA ODESSA;;2;;2019-05-08;00;;3999;Associação Privada;1994-10-25;1994;9491000;Atividades de organizações religiosas ou filosóficas;94910;Atividades de organizações religiosas;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA VITORIA 505;RUA;VITORIA;505;;JARDIM SAO JORGE;13380001;6769;NOVA ODESSA;;;SP;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Religião;Religião;;;;;;;;;;4 Estrelas;RUA VITORIA 505, NOVA ODESSA, SP, 13460000;-47,2817547559996;-22,7897718649996
00016176000131;Matriz;IGREJA BATISTA FILADELFIA DE NOVA ODESSA;;2;;2005-11-03;00;;3999;Associação Privada;1994-12-07;1994;9491000;Atividades de organizações religiosas ou filosóficas;94910;Atividades de organizações religiosas;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA ALZIRA DELEGA 14;RUA;ALZIRA DELEGA;14;;VILA LETONIA;13385414;6769;NOVA ODESSA;;;SP;;;;99;99999999;;;019;34667152;;16;;05;0;;;N;;;1;1;;Religião;Religião;;;;;;;;;;4 Estrelas;RUA ALZIRA DELEGA 14, NOVA ODESSA, SP, 13460000;-47,2914746229996;-22,7997930379996
00016300000169;Matriz;GREMIO RECREATIVO NABISCO;;4;;2018-12-21;63;OMISSÃO DE DECLARAÇÕES;3999;Associação Privada;1994-12-02;1994;9312300;Clubes sociais, esportivos e similares;93123;Clubes sociais, esportivos e similares;931;Atividades esportivas;93;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER;AVENIDA DR CASSIO P.PADOVANI 1315;AVENIDA;DR CASSIO P.PADOVANI;1315;FUNDOS PARTE;SERTAOZINHO;13405190;6875;PIRACICABA;;;SP;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Cultura e recreação;Esportes e recreação;;;;;;;;;;3 Estrelas;RUA LEONEL FAGGIN, JARDIM MONUMENTO, PIRACICABA, SP, 13405190;-47,6592438769996;-22,7127876949996
00016310000102;Matriz;SOCIEDADE RECREATIVA E CULTURAL REAL HISPANO BRASILEIRA;SOREAL;2;;2005-11-03;00;;3999;Associação Privada;1994-12-12;1994;9493600;Atividades de organizações associativas ligadas à cultura e à arte;94936;Atividades de organizações associativas ligadas à cultura e à arte;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA PRUDENTE DE MORAES 1292;RUA;PRUDENTE DE MORAES;1292;;ALTO;13405190;6875;PIRACICABA;;;SP;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Cultura e recreação;Cultura e arte;;;;;;;;;;4 Estrelas;RUA PRUDENTE DE MORAIS 1292, CENTRO, PIRACICABA, SP, 13400315;-47,6493002189996;-22,7236988579996
